Type Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,20533,élément non décomposé,Valide générique,Nickel,neuf,,Achats de biens > Métaux et produits métalliques > Autres métaux,"métaux, nickel",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,9167,,,,,,,,,,,,,,,,
Elément,20534,élément non décomposé,Valide générique,Plomb,neuf,,Achats de biens > Métaux et produits métalliques > Autres métaux,"métaux, plomb",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,30%,,,,,,,,,,,,,2090,,,,,,,,,,,,,,,,
Elément,20535,élément non décomposé,Valide générique,Zinc,neuf,,Achats de biens > Métaux et produits métalliques > Autres métaux,"métaux, zinc",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,30%,,,,,,,,,,,,,2933,,,,,,,,,,,,,,,,
Elément,20539,élément non décomposé,Valide générique,Nickel,recyclé,,Achats de biens > Métaux et produits métalliques > Autres métaux,"métaux, nickel",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,9167,,,,,,,,,,,,,,,,
Elément,20540,élément non décomposé,Valide générique,Plomb,recyclé,,Achats de biens > Métaux et produits métalliques > Autres métaux,"métaux, plomb",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,30%,,,,,,,,,,,,,2090,,,,,,,,,,,,,,,,
Elément,20541,élément non décomposé,Valide générique,Zinc,recyclé,,Achats de biens > Métaux et produits métalliques > Autres métaux,"métaux, zinc",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,30%,,,,,,,,,,,,,2933,,,,,,,,,,,,,,,,
Elément,20545,élément non décomposé,Valide générique,Verre,technique (optique et électronique),neuf,Achats de biens > Produits minéraux non métalliques > Verres et articles en verre > Autres verres,Verre,kgCO2e/kg,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,3.67,,,,,,,,,,,,,,,,
Elément,20546,élément non décomposé,Valide générique,Fibre de verre,neuf,,Achats de biens > Produits minéraux non métalliques > Verres et articles en verre > Autres verres,Verre,kgCO2e/kg,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,
Elément,20550,élément non décomposé,Valide générique,Verre,technique (optique et électronique),recyclé,Achats de biens > Produits minéraux non métalliques > Verres et articles en verre > Autres verres,Verre,kgCO2e/kg,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,3.67,,,,,,,,,,,,,,,,
Elément,20551,élément non décomposé,Valide générique,Fibre de verre,recyclé,,Achats de biens > Produits minéraux non métalliques > Verres et articles en verre > Autres verres,Verre,kgCO2e/kg,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,20%,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,
