Type Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,20682,élément non décomposé,Valide générique,Repas,moyen,,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,
Elément,20683,élément non décomposé,Valide générique,Repas,végétarien,,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,
Elément,20684,élément non décomposé,Valide générique,Repas,à dominante végétale (avec poulet),,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
Elément,20685,élément non décomposé,Valide générique,Repas,à dominante végétale (avec boeuf),,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,
Elément,20686,élément non décomposé,Valide générique,Repas,classique (avec poulet),,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,
Elément,20687,élément non décomposé,Valide générique,Repas,classique (avec boeuf),,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,6.29,,,,,,,,,,,,,,,,
Elément,20688,élément non décomposé,Valide générique,Repas,à dominante animale (avec poulet),,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,
Elément,20689,élément non décomposé,Valide générique,Repas,à dominante animale (avec boeuf),,Achats de services > Restauration,repas,kgCO2e/repas,ADEME,,,,France continentale,France continentale,Novembre 2014,Septembre 2018,déc-21,50%,,,,,,,,,,,,,7.26,,,,,,,,,,,,,,,,
Elément,24997,élément non décomposé,Valide générique,Service,"Assurance, services bancaires, conseil et honoraires",,Achats de services > Ratios monétaires,"biens et services, assurance, services bancaires, conseil et honoraires, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,
Elément,24998,élément non décomposé,Valide générique,Service,Courrier,,Achats de services > Ratios monétaires,"biens et services, courrier, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,
Elément,24999,élément non décomposé,Valide générique,Service,Télécommunications,,Achats de services > Ratios monétaires,"biens et services, ratio monétaire, télécommunications",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,
Elément,25000,élément non décomposé,Valide générique,Service,Hébergement et restauration,,Achats de services > Ratios monétaires,"biens et services, ratio monétaire, hébergement et restauration",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,
Elément,25001,élément non décomposé,Valide générique,Service,"Services (imprimerie, publicité, architecture et ingénierie, maintenance multi-technique des bâtimen",,Achats de services > Ratios monétaires,"biens et services, services (imprimerie, gardiennage, nettoyage, agence de voyage, autres services aux entreprises), ratio monétaire, publicité, architecture et ingénierie, maintenance multi-technique des bâtiments, sécurité",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,
Elément,25002,élément non décomposé,Valide générique,Service,"Édition (livres, journaux, revues, etc.)",,Achats de services > Ratios monétaires,"biens et services, journaux, revues, etc.), ratio monétaire, édition (livres",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,
Elément,25003,élément non décomposé,Valide générique,Service,"Films, enregistrement sonores, télévision et radio",,Achats de services > Ratios monétaires,"biens et services, films, enregistrement sonores, ratio monétaire, télévision et radio",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,
Elément,25004,élément non décomposé,Valide générique,Service,Réparation et installation de machines et d'équipements,,Achats de services > Ratios monétaires,"biens et services, ratio monétaire, réparation et installation de machines et d'équipements",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,390,,,,,,,,,,,,,,,,
Elément,25005,élément non décomposé,Valide générique,Service,Transport terrestre,,Achats de services > Ratios monétaires,"biens et services, transport terrestre, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,
Elément,25006,élément non décomposé,Valide générique,Service,Transport fluvial et maritime,,Achats de services > Ratios monétaires,"biens et services, transport fluvial et maritime, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,590,,,,,,,,,,,,,,,,
Elément,25007,élément non décomposé,Valide générique,Service,Transport aérien,,Achats de services > Ratios monétaires,"biens et services, ratio monétaire, transport aérien",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,1190,,,,,,,,,,,,,,,,
Elément,25008,élément non décomposé,Valide générique,Service,Entreposage et services auxiliaires des transports,,Achats de services > Ratios monétaires,"biens et services, entreposage et services auxiliaires des transports, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,
Elément,25009,élément non décomposé,Valide générique,Service,Construction,,Achats de services > Ratios monétaires,"biens et services, construction, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,
Elément,25010,élément non décomposé,Valide générique,Service,Produits agricoles et de la mer,,Achats de services > Ratios monétaires,"biens et services, produits agricoles et de la mer, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,
Elément,25011,élément non décomposé,Valide générique,Service,Produit agro-alimentaires transformés,,Achats de services > Ratios monétaires,"biens et services, ratio monétaire, produit agro-alimentaires transformés",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,
Elément,25012,élément non décomposé,Valide générique,Service,"Produit minéraux (ciment, verre, etc.)",,Achats de services > Ratios monétaires,"Verre, biens et services, etc.), ratio monétaire, produit minéraux (ciment",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,
Elément,25013,élément non décomposé,Valide générique,Service,Plastiques et caoutchouc,,Achats de services > Ratios monétaires,"biens et services, plastiques et caoutchouc, ratio monétaire",kgCO2e/keuro,ADEME,,,,France continentale,France continentale,Mai 2016,Août 2016,17/05/2018,80%,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,
