Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Electricité > Mix réseau électrique > Autres pays du monde,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Elément,élément décomposé par poste et par gaz,15543,Valide générique,kgCO2e/kWh,Électricité,photovoltaïque,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.photovoltaïque,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,30%,,,,,,,,,,,,,"0,055","0,055",0,0,0
Poste,élément décomposé par poste et par gaz,15543,Valide générique,kgCO2e/kWh,Électricité,photovoltaïque,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.photovoltaïque,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,30%,,,,,,,,,,,Combustion,,0,0,0,0,0
Poste,élément décomposé par poste et par gaz,15543,Valide générique,kgCO2e/kWh,Électricité,photovoltaïque,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.photovoltaïque,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,30%,,,,,,,,,,,Amont,,"0,055","0,055",0,0,0
Elément,élément décomposé par poste et par gaz,15561,Valide générique,kgCO2e/kWh,Electricité,géothermie,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.géothermie,France continentale,France continentale,Novembre 2014,Novembre 2016,déc.-19,50%,,,,,,,,,,,,,"0,045","0,045",0,0,0
Poste,élément décomposé par poste et par gaz,15561,Valide générique,kgCO2e/kWh,Electricité,géothermie,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.géothermie,France continentale,France continentale,Novembre 2014,Novembre 2016,déc.-19,50%,,,,,,,,,,,Combustion,,0,0,0,0,0
Poste,élément décomposé par poste et par gaz,15561,Valide générique,kgCO2e/kWh,Electricité,géothermie,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.géothermie,France continentale,France continentale,Novembre 2014,Novembre 2016,déc.-19,50%,,,,,,,,,,,Amont,,"0,045","0,045",0,0,0
Elément,élément décomposé par poste et par gaz,15562,Valide générique,kgCO2e/kWh,Electricité,hydraulique,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.hydraulique,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,50%,,,,,,,,,,,,,"0,006","0,006",0,0,0
Poste,élément décomposé par poste et par gaz,15562,Valide générique,kgCO2e/kWh,Electricité,hydraulique,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.hydraulique,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,50%,,,,,,,,,,,Combustion,,0,0,0,0,0
Poste,élément décomposé par poste et par gaz,15562,Valide générique,kgCO2e/kWh,Electricité,hydraulique,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.hydraulique,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,50%,,,,,,,,,,,Amont,,"0,006","0,006",0,0,0
Elément,élément décomposé par poste et par gaz,15563,Valide générique,kgCO2e/kWh,Electricité,centrale gaz,production,Electricité > Moyen de production > Conventionnels,Moyen de production d'électricité.centrale gaz,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,10%,,,,,,,,,,,,,"0,418","0,418",0,0,0
