Type,Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Poste,14740,élément décomposé par gaz,Valide générique,Traitement des eaux usées,en station d'épuration,part N2O,Process et émissions fugitives > Déchets > Traitement des eaux usées > Eaux usées urbaines,"nitritication / dénitrification, eaux usées",kgCO2e/kg NTK,ADEME,,,ASTEE,France continentale,France continentale,Octobre 2014,Septembre 2018,déc-21,400%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Total Non Décomposé,,0.193,0,0,0,0.193,,,,,,,,,,,0,0
,Poste,14741,élément décomposé par gaz,Valide générique,Traitement des eaux usées,en station d'épuration,part CH4,Process et émissions fugitives > Déchets > Traitement des eaux usées > Eaux usées urbaines,eaux usées,kgCO2e/kg DCO éliminée,ADEME,,,ASTEE,France continentale,France continentale,Octobre 2014,Septembre 2018,déc-21,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Total Non Décomposé,,5.60E-3,0,0,5.60E-3,0,,,,,,,,,,,0,0
,Elément,22021,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie stockage,,Traitement des déchets > Déchets organiques > Papiers,"centre de stockage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,,,1018,33,985,0,0,,,,,,,,,,,0,579
,Poste,22021,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie stockage,,Traitement des déchets > Déchets organiques > Papiers,"centre de stockage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Collecte,,18,18,0,0,0,,,,,,,,,,,0,0
,Poste,22021,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie stockage,,Traitement des déchets > Déchets organiques > Papiers,"centre de stockage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Traitement,centre de stockage,15,15,0,0,0,,,,,,,,,,,0,0
,Poste,22021,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie stockage,,Traitement des déchets > Déchets organiques > Papiers,"centre de stockage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Fuites,CH4 et CO2 non capté,985,0,985,0,0,,,,,,,,,,,0,344
,Poste,22021,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie stockage,,Traitement des déchets > Déchets organiques > Papiers,"centre de stockage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Incinération,CH4 capté,0,0,0,0,0,,,,,,,,,,,0,234
,Elément,22022,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie incinération,,Traitement des déchets > Déchets organiques > Papiers,"incinération, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,,,46.6,36,0,0,10.6,,,,,,,,,,,0,1393
,Poste,22022,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie incinération,,Traitement des déchets > Déchets organiques > Papiers,"incinération, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Collecte,,18,18,0,0,0,,,,,,,,,,,0,0
,Poste,22022,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie incinération,,Traitement des déchets > Déchets organiques > Papiers,"incinération, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Traitement,incinérateur,18,18,0,0,0,,,,,,,,,,,0,0
,Poste,22022,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie incinération,,Traitement des déchets > Déchets organiques > Papiers,"incinération, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Incinération,,10.6,0,0,0,10.6,,,,,,,,,,,0,1393
,Elément,22023,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie compost,,Traitement des déchets > Déchets organiques > Papiers,"compostage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,,,86.7,36,8.07,0,42.7,,,,,,,,,,,0,540
,Poste,22023,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie compost,,Traitement des déchets > Déchets organiques > Papiers,"compostage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Collecte,,18,18,0,0,0,,,,,,,,,,,0,0
,Poste,22023,élément décomposé par poste et par gaz,Valide générique,Papier,fin de vie compost,,Traitement des déchets > Déchets organiques > Papiers,"compostage, papier fin de vie",kgCO2e/tonne,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,,,,,,,,,,,,Traitement,composteur,18,18,0,0,0,,,,,,,,,,,0,0
