Type ,Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Elément,12895,élément décomposé par poste et par gaz,Valide générique,Agglomérés de houille,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, agglomérés de houille",kgCO2e/GJ PCI,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,105,98.3,5.58,0,0.795,,,,,,,,,,,0,0
,Poste,12895,élément décomposé par poste et par gaz,Valide générique,Agglomérés de houille,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, agglomérés de houille",kgCO2e/GJ PCI,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Combustion,,95.8,95,0.03,0,0.795,,,,,,,,,,,0,0
,Poste,12895,élément décomposé par poste et par gaz,Valide générique,Agglomérés de houille,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, agglomérés de houille",kgCO2e/GJ PCI,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Amont,,8.85,3.3,5.55,0,0,,,,,,,,,,,0,0
,Elément,12896,élément décomposé par poste et par gaz,Valide générique,Agglomérés de houille,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, agglomérés de houille",kgCO2e/kg,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,3.35,3.15,0.179,0,0.0254,,,,,,,,,,,0,0
,Poste,12896,élément décomposé par poste et par gaz,Valide générique,Agglomérés de houille,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, agglomérés de houille",kgCO2e/kg,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Combustion,,3.07,3.04,9.60E-4,0,0.0254,,,,,,,,,,,0,0
,Poste,12896,élément décomposé par poste et par gaz,Valide générique,Agglomérés de houille,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, agglomérés de houille",kgCO2e/kg,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Amont,,0.284,0.106,0.178,0,0,,,,,,,,,,,0,0
,Elément,12899,élément décomposé par poste et par gaz,Valide générique,Anthracite,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, anthracite",kgCO2e/GJ PCI,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,108,102,5.73,0,0.398,,,,,,,,,,,0,0
,Poste,12899,élément décomposé par poste et par gaz,Valide générique,Anthracite,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, anthracite",kgCO2e/GJ PCI,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,98.7,98.3,0.03,0,0.398,,,,,,,,,,,0,0
,Poste,12899,élément décomposé par poste et par gaz,Valide générique,Anthracite,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, anthracite",kgCO2e/GJ PCI,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,9,3.3,5.7,0,0,,,,,,,,,,,0,0
,Elément,12900,élément décomposé par poste et par gaz,Valide générique,Anthracite,,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, anthracite",kgCO2e/kg,ADEME,,,,France continentale,France continentale,Octobre 2014,Octobre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,2.87,2.71,0.149,0,0.0106,,,,,,,,,,,0,0
