Type, Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Elément,21028,élément décomposé par poste et par gaz,Valide générique,Fourgon,"déménagement, 8m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, fourgon, déménagement",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.555,0.539,8.28E-3,0,7.80E-3,,,,,,,,,,,0,0
,Poste,21028,élément décomposé par poste et par gaz,Valide générique,Fourgon,"déménagement, 8m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, fourgon, déménagement",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.403,0.399,1.80E-4,0,3.21E-3,,,,,,,,,,,0,0.0232
,Poste,21028,élément décomposé par poste et par gaz,Valide générique,Fourgon,"déménagement, 8m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, fourgon, déménagement",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.105,0.0922,8.10E-3,0,4.60E-3,,,,,,,,,,,0,-0.0232
,Poste,21028,élément décomposé par poste et par gaz,Valide générique,Fourgon,"déménagement, 8m³",,Transport de marchandises > Routier > Déménagement,"fret routier, poids lourd, PL, fourgon, déménagement",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,Décembre 2017,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.048,0.048,0,0,0,,,,,,,,,,,0,0
,Elément,21029,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,1.2,1.17,0.0182,0,0.0171,,,,,,,,,,,0,0
,Poste,21029,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.885,0.877,3.96E-4,0,7.05E-3,,,,,,,,,,,0,0.0511
,Poste,21029,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.231,0.203,0.0178,0,0.0101,,,,,,,,,,,0,-0.0511
,Poste,21029,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.0886,0.0886,0,0,0,,,,,,,,,,,0,0
,Elément,21030,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.547,0.531,8.28E-3,0,7.82E-3,,,,,,,,,,,0,0
,Poste,21030,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.403,0.399,1.80E-4,0,3.21E-3,,,,,,,,,,,0,0.0232
