Type,Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Elément,21536,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.238,0.232,3.61E-3,0,2.51E-3,,,,,,,,,,,0,0
,Poste,21536,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,essence,0.163,0.161,3.89E-4,0,1.32E-3,,,,,,,,,,,0,8.49E-3
,Poste,21536,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,essence,0.0384,0.034,3.22E-3,0,1.19E-3,,,,,,,,,,,0,-8.49E-3
,Poste,21536,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,moto,0.0367,0.0367,0,0,0,,,,,,,,,,,0,0
,Elément,21537,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.476,0.464,7.22E-3,0,5.02E-3,,,,,,,,,,,0,0
,Poste,21537,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,essence,0.326,0.322,7.78E-4,0,2.64E-3,,,,,,,,,,,0,0.017
,Poste,21537,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,essence,0.0768,0.068,6.45E-3,0,2.38E-3,,,,,,,,,,,0,-0.017
,Poste,21537,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée sup. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,moto,0.0735,0.0735,0,0,0,,,,,,,,,,,0,0
,Elément,21538,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.204,0.199,3.01E-3,0,2.09E-3,,,,,,,,,,,0,0
,Poste,21538,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,essence,0.136,0.134,3.24E-4,0,1.10E-3,,,,,,,,,,,0,7.07E-3
