Type,Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Elément,15543,élément décomposé par poste et par gaz,Valide générique,Électricité,photovoltaïque,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.photovoltaïque,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,30%,,,,,,,,,,,,,0.055,0.055,0,0,0,,,,,,,,,,,0,0
,Poste,15543,élément décomposé par poste et par gaz,Valide générique,Électricité,photovoltaïque,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.photovoltaïque,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,30%,,,,,,,,,,,Combustion,,0,0,0,0,0,,,,,,,,,,,0,0
,Poste,15543,élément décomposé par poste et par gaz,Valide générique,Électricité,photovoltaïque,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.photovoltaïque,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,30%,,,,,,,,,,,Amont,,0.055,0.055,0,0,0,,,,,,,,,,,0,0
,Elément,15561,élément décomposé par poste et par gaz,Valide générique,Electricité,géothermie,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.géothermie,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2016,déc.-19,50%,,,,,,,,,,,,,0.045,0.045,0,0,0,,,,,,,,,,,0,0
,Poste,15561,élément décomposé par poste et par gaz,Valide générique,Electricité,géothermie,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.géothermie,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2016,déc.-19,50%,,,,,,,,,,,Combustion,,0,0,0,0,0,,,,,,,,,,,0,0
,Poste,15561,élément décomposé par poste et par gaz,Valide générique,Electricité,géothermie,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.géothermie,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2016,déc.-19,50%,,,,,,,,,,,Amont,,0.045,0.045,0,0,0,,,,,,,,,,,0,0
,Elément,15562,élément décomposé par poste et par gaz,Valide générique,Electricité,hydraulique,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.hydraulique,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,50%,,,,,,,,,,,,,6.00E-3,6.00E-3,0,0,0,,,,,,,,,,,0,0
,Poste,15562,élément décomposé par poste et par gaz,Valide générique,Electricité,hydraulique,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.hydraulique,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,50%,,,,,,,,,,,Combustion,,0,0,0,0,0,,,,,,,,,,,0,0
,Poste,15562,élément décomposé par poste et par gaz,Valide générique,Electricité,hydraulique,production,Electricité > Moyen de production > Renouvelables,Moyen de production d'électricité.hydraulique,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,50%,,,,,,,,,,,Amont,,6.00E-3,6.00E-3,0,0,0,,,,,,,,,,,0,0
,Elément,15563,élément décomposé par poste et par gaz,Valide générique,Electricité,centrale gaz,production,Electricité > Moyen de production > Conventionnels,Moyen de production d'électricité.centrale gaz,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,10%,,,,,,,,,,,,,0.418,0.418,0,0,0,,,,,,,,,,,0,0
,Poste,15563,élément décomposé par poste et par gaz,Valide générique,Electricité,centrale gaz,production,Electricité > Moyen de production > Conventionnels,Moyen de production d'électricité.centrale gaz,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,10%,,,,,,,,,,,Combustion,,0.351,0.351,0,0,0,,,,,,,,,,,0,0
,Poste,15563,élément décomposé par poste et par gaz,Valide générique,Electricité,centrale gaz,production,Electricité > Moyen de production > Conventionnels,Moyen de production d'électricité.centrale gaz,kgCO2e/kWh,ADEME,,,,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,10%,,,,,,,,,,,Amont,,0.067,0.067,0,0,0,,,,,,,,,,,0,0
